"GEO_ID","NAME","B19013H_001E","B19013H_001M","B19013H_001MA","B19013H_001EA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)",
"0500000US17019","Champaign County, Illinois","72271","5930","null","null",
"0500000US17031","Cook County, Illinois","91362","1637","null","null",
"0500000US17037","DeKalb County, Illinois","71813","8642","null","null",
"0500000US17043","DuPage County, Illinois","106079","2986","null","null",
"0500000US17089","Kane County, Illinois","104394","4724","null","null",
"0500000US17091","Kankakee County, Illinois","69109","4345","null","null",
"0500000US17093","Kendall County, Illinois","97048","18247","null","null",
"0500000US17097","Lake County, Illinois","109054","4466","null","null",
"0500000US17099","LaSalle County, Illinois","66194","4877","null","null",
"0500000US17111","McHenry County, Illinois","93242","4413","null","null",
"0500000US17113","McLean County, Illinois","72742","4055","null","null",
"0500000US17115","Macon County, Illinois","57706","7657","null","null",
"0500000US17119","Madison County, Illinois","68827","3718","null","null",
"0500000US17143","Peoria County, Illinois","64062","5214","null","null",
"0500000US17161","Rock Island County, Illinois","62467","4259","null","null",
"0500000US17163","St. Clair County, Illinois","73045","3205","null","null",
"0500000US17167","Sangamon County, Illinois","74329","6087","null","null",
"0500000US17179","Tazewell County, Illinois","64228","4988","null","null",
"0500000US17183","Vermilion County, Illinois","52443","3852","null","null",
"0500000US17197","Will County, Illinois","100799","3682","null","null",
"0500000US17199","Williamson County, Illinois","56658","9391","null","null",
"0500000US17201","Winnebago County, Illinois","60473","4072","null","null",
