ACSDT1Y2021.B19013B-Data
GEO_ID,NAME,B19013B_001E
0500000US17019,"Champaign County, Illinois",37488
0500000US17031,"Cook County, Illinois",42555
0500000US17037,"DeKalb County, Illinois",21043
0500000US17043,"DuPage County, Illinois",49318
0500000US17089,"Kane County, Illinois",56328
0500000US17091,"Kankakee County, Illinois",27809
0500000US17093,"Kendall County, Illinois",72447
0500000US17097,"Lake County, Illinois",53288
0500000US17099,"LaSalle County, Illinois",null
0500000US17111,"McHenry County, Illinois",37102
0500000US17113,"McLean County, Illinois",31844
0500000US17115,"Macon County, Illinois",22634
0500000US17119,"Madison County, Illinois",40235
0500000US17143,"Peoria County, Illinois",30447
0500000US17161,"Rock Island County, Illinois",40134
0500000US17163,"St. Clair County, Illinois",43933
0500000US17167,"Sangamon County, Illinois",16499
0500000US17179,"Tazewell County, Illinois",-
0500000US17183,"Vermilion County, Illinois",27173
0500000US17197,"Will County, Illinois",74496
0500000US17199,"Williamson County, Illinois",null
0500000US17201,"Winnebago County, Illinois",35763
